Date,Open,Close,Volume,Ticker
2024-01-02,185.78943757371047,184.29042053222656,82488700,AAPL
2024-01-03,182.88074176951616,182.9105224609375,58414500,AAPL
2024-01-04,180.82578520690032,180.58753967285156,71983600,AAPL
2024-01-05,180.66696287937032,179.8628387451172,62303300,AAPL
2024-01-08,180.76623878240164,184.2110137939453,59144500,AAPL
2024-01-09,182.58293533514995,183.7940673828125,42841800,AAPL
2024-01-10,183.00980597306068,184.83642578125,46792900,AAPL
2024-01-11,185.1838742981323,184.24078369140625,49128400,AAPL
2024-01-12,184.70737150933715,184.56838989257812,40444700,AAPL
2024-01-16,180.83571426310817,182.29502868652344,65603000,AAPL
2024-01-17,179.95220591318565,181.35194396972656,47317400,AAPL
2024-01-18,184.73713933247967,187.25868225097656,78005800,AAPL
2024-01-19,187.9535897974558,190.16737365722656,68741000,AAPL
2024-01-22,190.9020161446229,192.48045349121094,60133900,AAPL
2024-01-23,193.60223731108647,193.7610626220703,42355600,AAPL
2024-01-24,193.9993237123997,193.0860137939453,53631300,AAPL
2024-01-25,193.80079260051858,192.7584228515625,54822100,AAPL
2024-01-26,192.85769025735726,191.02113342285156,44594000,AAPL
2024-01-29,190.614099077556,190.3361358642578,47145600,AAPL
2024-01-30,189.5518847070131,186.67295837402344,55859400,AAPL
2024-01-31,185.68022448739953,183.05941772460938,55467800,AAPL
2024-02-01,182.6524106894615,185.5015411376953,64885400,AAPL
2024-02-02,178.55244241438749,184.4989013671875,102518000,AAPL
2024-02-05,186.78216664518396,186.31558227539062,69668800,AAPL
2024-02-06,185.50154897397763,187.92381286621094,43490800,AAPL
2024-02-07,189.2540738540102,188.03302001953125,53439000,AAPL
2024-02-08,188.0131563419714,186.95094299316406,40962000,AAPL
2024-02-09,187.5174970927484,187.71630859375,45155200,AAPL
2024-02-12,187.28888476363343,186.02650451660156,41781900,AAPL
2024-02-13,184.6547973151463,183.92916870117188,56529500,AAPL
2024-02-14,184.20749952407863,183.0445098876953,54630500,AAPL
2024-02-15,182.4481195157763,182.75625610351562,65434500,AAPL
2024-02-16,182.31889800876044,181.21556091308594,49701400,AAPL
2024-02-20,180.69869255835386,180.47007751464844,53665600,AAPL
2024-02-21,180.8478012209779,181.22552490234375,41529700,AAPL
